,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울시 구별 일별 시간대별 교통사고 건수(2017년~2018년),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일,발생지_구,종로구,중구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,양천구,중랑구,노원구,광진구,강북구,금천구,합계:,
,발생시간_분류,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,
20170116,16시-18시,,1,1,,,,,,,,,1,,,,1,,,,,1,1,,1,,7,
20170116,18시-20시,,1,1,,1,3,,,1,2,1,1,1,1,,1,,1,,,1,1,1,,1,19,
20170116,20시-22시,1,1,,1,,2,,1,,,2,,1,,2,1,1,1,,1,1,,,,,16,
20170116,22시-24시,,,,,,,,1,2,1,,,2,1,,2,1,,1,,,1,1,,,13,
20170117,00시-02시,,,,1,,,,,,1,,,,,,,,,,,,,2,,,4,
20170117,02시-04시,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,
20170117,04시-06시,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
20170117,06시-08시,,,,,1,,1,,1,,,,,,1,2,1,,1,1,1,,,,,10,
20170117,08시-10시,1,,,,,,,,,,1,2,1,,,,,,1,,,1,,,,7,
20170117,10시-12시,1,,1,,,1,2,,,,,,2,1,,1,,1,,,1,1,,,,12,
20170117,12시-14시,1,1,1,,1,1,,1,,,1,,,,,1,,,,,1,,,,1,10,
20170117,14시-16시,1,,1,1,,,,,,,,,,1,1,,,1,,1,1,,,,,8,
20170117,16시-18시,,,,,1,3,,,2,,,,,1,,1,,1,,,1,,,,,10,
20170117,18시-20시,,,,,1,,1,,,,,,1,,,,,2,,,1,1,,1,,8,
20170117,20시-22시,,,1,,,,1,,,1,,,,1,1,1,,3,1,,,,,,,10,
20170117,22시-24시,1,,,,,,1,2,,1,1,2,1,1,,,,,1,1,,,,1,,13,
20170118,00시-02시,,1,,,,,1,1,,,,1,,,,1,,,,,,2,,1,,8,
20170118,02시-04시,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
20170118,04시-06시,,,,,,,,,,1,,,1,,,,,1,,,,,1,,,4,
20170118,06시-08시,,,,,,,,,,,1,1,,,1,,,,,,,,,,,3,
20170118,08시-10시,2,,,,1,,,,1,,2,,,1,,1,1,3,1,,,1,,,,14,
20170118,10시-12시,,,,,,,,1,,,1,1,,,,2,,,2,1,,,,,,8,
20170118,12시-14시,,1,,1,1,,,,,,1,,,2,1,2,1,1,,,,3,,,1,15,
20170118,14시-16시,1,1,,,,,,,2,,1,,,,,2,,,1,1,,1,,,,10,
20170118,16시-18시,,,1,1,,,,,,1,,,1,,2,1,1,,1,1,,,1,,,11,
20170118,18시-20시,,,,,1,1,,,,,1,,2,1,1,,3,1,1,,,2,1,2,,17,
20170118,20시-22시,,1,,,1,,1,,1,,1,,1,1,1,1,,,1,,,1,,,,11,
20170118,22시-24시,,,1,1,,2,,,1,,,2,2,,,1,1,,1,1,,2,,1,,16,
20170119,00시-02시,,,,,,,,1,,,2,,1,,,,,2,,,,,,,,6,
20170119,02시-04시,,,,,,1,,,,1,,,,,,1,,,,,,,,,,3,
20170119,04시-06시,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,4,
20170119,06시-08시,,,,1,,,,,,,1,,2,1,1,,,1,,,1,,,,,8,
20170119,08시-10시,,,,,2,,,,,1,,1,2,,,1,,1,1,1,,,,,,10,
20170119,10시-12시,,1,,,,,,,1,,,1,,,1,2,,,,2,1,,,,,9,
20170119,12시-14시,1,,,,,,,,,1,,,1,,,1,,1,,,,,,,,5,
20170119,14시-16시,,,1,,,,1,1,,,,,,,,1,,,,,1,,,,1,6,
20170119,16시-18시,1,,,,,,,,3,,1,1,,1,,1,,,1,,,,,,,9,
20170119,18시-20시,,2,1,1,1,1,,,,1,,,2,1,1,,,3,1,,1,,,,,16,
